Domain: Depots,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile8,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile8,,,,,,,,,,
,,,,,,,,,,
real,0,0,4,,,,,,,
user,0,0,0,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile8,,,,,,,,,,
,,,,,,,,,,
real,3,34,513,,,,,,,
user,3,34,308,,,,,,,
sys,0,0,132,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile8,,,,,,,,,,
,,,,,,,,,,
real,3,44,177,,,,,,,
user,3,44,84,,,,,,,
sys,0,0,72,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Depots/pfile9,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Depots/pfile9,,,,,,,,,,
,,,,,,,,,,
real,0,0,8,,,,,,,
user,0,0,4,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
FastForward: Depots/pfile9,,,,,,,,,,
,,,,,,,,,,
real,0,0,209,,,,,,,
user,0,0,208,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Depots/pfile9,,,,,,,,,,
,,,,,,,,,,
real,0,0,225,,,,,,,
user,0,0,224,,,,,,,
sys,0,0,0,,,,,,,
