Domain: Freecell,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
PlanningFacts: Freecell/pfile7,,,,,,,,,,
,,,,,,,,,,
real,0,0,65,,,,,,,
user,0,0,60,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile8,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile8,,,,,,,,,,
,,,,,,,,,,
real,0,0,51,,,,,,,
user,0,0,44,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile8,,,,,,,,,,
,,,,,,,,,,
real,0,0,44,,,,,,,
user,0,0,40,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile8,,,,,,,,,,
,,,,,,,,,,
real,0,0,75,,,,,,,
user,0,0,60,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Freecell/pfile9,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Freecell/pfile9,,,,,,,,,,
,,,,,,,,,,
real,0,0,43,,,,,,,
user,0,0,36,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Freecell/pfile9,,,,,,,,,,
,,,,,,,,,,
real,0,0,98,,,,,,,
user,0,0,96,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Freecell/pfile9,,,,,,,,,,
,,,,,,,,,,
real,0,0,122,,,,,,,
user,0,0,116,,,,,,,
sys,0,0,4,,,,,,,
