Domain: Blocksworld,Minutes,Seconds,Milliseconds,,Minutes,Seconds,Milliseconds,,Minutes,Seconds
,,,,,,,,,,
domain skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
domainR skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probBLOCKS-0-0-0-0,,,,,,,,,,
,,,,,Total for FFR,,,,,
real,0,0,71,,,,,,,
user,0,0,64,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-42-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,67,,,,,,,
user,0,0,12,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,21,,,,,,,
user,0,0,8,,,,,,,
sys,0,0,12,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-43-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,72,,,,,,,
user,0,0,64,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-44-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-45-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,40,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,120,,,,,,,
user,0,0,120,,,,,,,
sys,0,0,0,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-46-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,168,,,,,,,
user,0,0,160,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,43,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
real,0,9,479,,,,,,,
user,0,9,380,,,,,,,
sys,0,0,96,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-47-0,,,,,,,,,,
,,,,,,,,,,
real,0,9,337,,,,,,,
user,0,9,220,,,,,,,
sys,0,0,112,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
FastForwardR: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,49,,,,,,,
user,0,0,16,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
FastForward: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,29,,,,,,,
user,0,0,20,,,,,,,
sys,0,0,8,,,,,,,
,,,,,,,,,,
PlanningFacts: Blocksworld/probblocks-48-0,,,,,,,,,,
,,,,,,,,,,
real,0,0,104,,,,,,,
user,0,0,96,,,,,,,
sys,0,0,4,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
probblocks-49-0 skipped,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Problem: Blocksworld/probblocks-50-0,,,,,,,,,,
,,,,,,,,,,
